author,book_link,cover_link,title,price,website_source,scrape_date,Publisher,book_id,Publication date
Steven Greenhouse,https://www.penguinrandomhouse.com/books/246798/beaten-down-worked-up-by-steven-greenhouse/,https://images1.penguinrandomhouse.com/cover/9781101872796,"Beaten Down, Worked Up",$17.00,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,36594038,
Jason Kelly,https://www.penguinrandomhouse.com/books/311806/the-neatest-little-guide-to-stock-market-investing-by-jason-kelly/,https://images3.penguinrandomhouse.com/cover/9780452298620,The Neatest Little Guide to Stock Market Investing,$17.00,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,94836237,
Gretchen McCulloch,https://www.penguinrandomhouse.com/books/540664/because-internet-by-gretchen-mcculloch/,https://images2.penguinrandomhouse.com/cover/9780735210943,Because Internet,$17.00,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,54870762,
James Hamblin,https://www.penguinrandomhouse.com/books/588965/clean-by-james-hamblin/,https://images2.penguinrandomhouse.com/cover/9780525538318,Clean,$28.00,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,76708750,
Melissa Korn and Jennifer Levitz,https://www.penguinrandomhouse.com/books/622985/unacceptable-by-melissa-korn-and-jennifer-levitz/,https://images4.penguinrandomhouse.com/cover/9780593087725,Unacceptable,$28.00,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,4578516,
Jesse Fewell,https://www.penguinrandomhouse.com/books/634056/untapped-agility-by-jesse-fewell/,https://images1.penguinrandomhouse.com/cover/9781523088300,Untapped Agility,$34.95,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,79780040,
Andrea Fryrear,https://www.penguinrandomhouse.com/books/636246/mastering-marketing-agility-by-andrea-fryrear/,https://images4.penguinrandomhouse.com/cover/9781523090983,Mastering Marketing Agility,$29.95,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,90881214,
Robert I. Rotberg,https://www.penguinrandomhouse.com/books/647571/anticorruption-by-robert-i-rotberg/,https://images4.penguinrandomhouse.com/cover/9780262538831,Anticorruption,$15.95,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,23154765,
MIT Sloan Management Review,https://www.penguinrandomhouse.com/books/648140/a-managers-guide-to-the-new-world-of-work-by-mit-sloan-management-review/,https://images4.penguinrandomhouse.com/cover/9780262539449,A Manager's Guide to the New World of Work,$24.95,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,35561956,
Laura Vanderkam,https://www.penguinrandomhouse.com/books/667807/the-new-corner-office-by-laura-vanderkam/,https://images1.penguinrandomhouse.com/cover/9780593330050,The New Corner Office,Not available,https://www.penguinrandomhouse.com/,2021-01-15,penguinrandomhouse,4569518,
"Eggermont, P., LaRiccia, V. N. (2001)",https://www.springer.com/gp/book/9780387952680,https://images.springer.com/sgw/books/small/9780387952680.jpg,Maximum Penalized Likelihood Estimation,"128,39 €",https://www.springer.com/,2021-01-15,springer,70377303,
"Leal Filho, W. (Ed), Azul, A. M. (Ed), Brandli, L. (Ed), Lange Salvia, A. (Ed), Wall, T. (Ed) (2020)",https://www.springer.com/gp/book/9783319710594,https://images.springer.com/sgw/books/small/9783319710594.jpg,"Industry, Innovation and Infrastructure","213,99 €",https://www.springer.com/,2021-01-15,springer,75467799,
Elaine Pofeldt,https://www.penguinrandomhouse.com/books/624532/the-million-dollar-one-person-business-revised-by-elaine-pofeldt/,https://images3.penguinrandomhouse.com/cover/9781984858368,"The Million-Dollar, One-Person Business, Revised",$18.99,https://www.penguinrandomhouse.com/,2021-01-19,penguinrandomhouse,39137526,
Wayne Turmel and Kevin Eikenberry,https://www.penguinrandomhouse.com/books/646553/the-long-distance-teammate-by-kevin-eikenberry-and-wayne-turmel/,https://images2.penguinrandomhouse.com/cover/9781523090303,The Long-Distance Teammate,$19.95,https://www.penguinrandomhouse.com/,2021-01-19,penguinrandomhouse,16266584,
Laura Meier,https://www.penguinrandomhouse.com/books/676066/the-family-nest-egg-by-laura-meier/,https://images1.penguinrandomhouse.com/cover/9780593414637,The Family Nest Egg,,https://www.penguinrandomhouse.com/,2021-01-19,penguinrandomhouse,90720960,
 Eric W. Orts ,https://global.oup.com/academic/product/rethinking-the-firm-9780199211357?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/system/defaultCovers/INA_115x150.jpg,Rethinking the Firm,£25.00,https://global.oup.com/,2021-01-19,oup,13209596,29 September 2022
" H. Stephen Harris Jr., Peter J. Wang, Yizhe Zhang, Mark A. Cohen, Sebastien J. Evrard ",https://global.oup.com/academic/product/anti-monopoly-law-and-practice-in-china-9780198704089?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780198704089,Anti-Monopoly Law and Practice in China,£145.00,https://global.oup.com/,2021-01-19,oup,92641167,14 May 2022
 Adrian Wilkinson ,https://global.oup.com/academic/product/human-resource-management-a-very-short-introduction-9780198714736?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/system/defaultCovers/INA_115x150.jpg,Human Resource Management: A Very Short Introduction,£8.99,https://global.oup.com/,2021-01-19,oup,83288638,24 February 2022
 Katina Manko ,https://global.oup.com/academic/product/ding-dong-avon-calling-9780190499822?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780190499822,Ding Dong! Avon Calling!,£26.99,https://global.oup.com/,2021-01-19,oup,33835811,02 August 2021
" Emma Parry, Michael J. Morley, Chris Brewster ",https://global.oup.com/academic/product/the-oxford-handbook-of-contextual-approaches-to-human-resource-management-9780190861162?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780190861162,The Oxford Handbook of Contextual Approaches to Human Resource Management,£115.00,https://global.oup.com/,2021-01-19,oup,35288890,22 July 2021
" Richard Susskind, Daniel Susskind ",https://global.oup.com/academic/product/the-future-of-the-professions-9780198841890?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780198841890,The Future of the Professions,£9.99,https://global.oup.com/,2021-01-19,oup,95323280,27 May 2021
" Marshall Scott Poole, Andrew Van de Ven ",https://global.oup.com/academic/product/the-oxford-handbook-of-organizational-change-and-innovation-9780198845973?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780198845973,The Oxford Handbook of Organizational Change and Innovation,£125.00,https://global.oup.com/,2021-01-19,oup,56903038,20 May 2021
" Gino Cattani, Mariano Mastrogiorgio ",https://global.oup.com/academic/product/new-developments-in-evolutionary-innovation-9780198837091?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780198837091,New Developments in Evolutionary Innovation,£65.00,https://global.oup.com/,2021-01-19,oup,20061960,13 May 2021
" Veronica Schmidt Harvey, Kenneth P. De Meuse ",https://global.oup.com/academic/product/the-age-of-agility-9780190085353?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780190085353,The Age of Agility,£62.00,https://global.oup.com/,2021-01-19,oup,36363575,16 April 2021
 Joe Ungemah ,https://global.oup.com/academic/product/punching-the-clock-9780190061241?type=listing&prevNumResPerPage=20&prevSortField=1&sortField=8&resultsPerPage=100&start=0&lang=en&cc=ro,https://global.oup.com/academic/covers/listing/9780190061241,Punching the Clock,£22.99,https://global.oup.com/,2021-01-19,oup,82043149,16 April 2021
